,Title,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,Format
165,Billionaire Boys Club,2018-07-17,108 min,"Biography, Drama, Thriller",1 win,30.0,5.6,"13,760",tt5179598,1349.0,English,0.0,not_netflix
166,"Juliet, Naked",2018-08-17,97 min,"Comedy, Drama, Music",1 win & 5 nominations,67.0,6.6,"23,510",tt5607096,3444895.0,English,0.0,not_netflix
167,Down a Dark Hall,2018-08-17,96 min,"Drama, Fantasy, Horror",1 nomination,56.0,5.0,"14,453",tt2372251,,English,0.0,not_netflix
168,The Happytime Murders,2018-08-24,91 min,"Action, Comedy, Crime",2 wins & 10 nominations,27.0,5.4,"29,184",tt1308728,20706452.0,English,40000000.0,not_netflix
169,Searching,2018-08-31,102 min,"Drama, Mystery, Thriller",6 wins & 10 nominations,71.0,7.6,"169,080",tt7668870,26020957.0,English,1000000.0,not_netflix
170,Papillon,1973-12-19,151 min,"Biography, Crime, Drama",Nominated for 1 Oscar. 2 wins & 2 nominations total,58.0,8.0,"132,859",tt0070511,53267000.0,"English, Spanish",,not_netflix
171,Axl Rose: The Prettiest Star,2005-08-15,63 min,"Documentary, Biography, Music",,,6.9,27,tt1278004,,English,,not_netflix
172,Operation Finale,2018-08-29,122 min,"Biography, Drama, History",2 nominations,58.0,6.6,"44,705",tt5208252,17612099.0,"English, Spanish, French, German, Hebrew, Arabic",24000000.0,not_netflix
173,Kin,2018-08-31,102 min,"Action, Drama, Sci-Fi",3 nominations,35.0,5.8,"17,763",tt6017942,5718096.0,English,30000000.0,not_netflix
174,The Little Stranger,2018-09-21,111 min,"Drama, Horror, Mystery",5 nominations,67.0,5.5,"10,282",tt6859762,713143.0,English,0.0,not_netflix
175,Destination Wedding,2018-09-07,87 min,"Comedy, Drama, Romance",,46.0,6.0,"31,263",tt6987770,,"English, Spanish",0.0,not_netflix
176,Reprisal,2018-10-16,89 min,"Action, Drama, Thriller",,19.0,4.3,"7,805",tt6547170,,English,500.0,not_netflix
177,The Nun,2018-09-07,96 min,"Horror, Mystery, Thriller",2 wins & 1 nomination,46.0,5.3,"146,036",tt5814060,117481222.0,"English, French, Romanian, Latin",22000000.0,not_netflix
178,Peppermint,2018-09-07,101 min,"Action, Thriller",4 nominations,29.0,6.5,"66,888",tt6850820,35418723.0,"English, Spanish",25000000.0,not_netflix
179,The Predator,2018-09-14,107 min,"Action, Adventure, Horror",1 win & 8 nominations,48.0,5.3,"136,748",tt3829266,51024708.0,"English, Spanish",88000000.0,not_netflix
180,White Boy Rick,2018-09-14,111 min,"Crime, Drama",2 nominations,59.0,6.5,"39,470",tt4537896,24011188.0,English,29000000.0,not_netflix
181,A Simple Favor,2018-09-14,117 min,"Comedy, Crime, Mystery",3 wins & 6 nominations,67.0,6.8,"153,299",tt7040874,53548586.0,English,20000000.0,not_netflix
182,The Children Act,2018-09-14,105 min,Drama,2 wins & 5 nominations,62.0,6.7,"14,016",tt6040662,547750.0,English,0.0,not_netflix
183,Lizzie,2018-09-14,105 min,"Biography, Crime, Drama",1 nomination,59.0,5.9,"8,545",tt5160938,642157.0,English,0.0,not_netflix
184,Unbroken: Path to Redemption,2018-09-14,98 min,"Biography, Drama, History",5 nominations,39.0,5.8,"3,291",tt7339792,6216897.0,"English, Italian",0.0,not_netflix
185,Hell House LLC II: The Abaddon Hotel,2018-09-20,89 min,"Horror, Mystery",,,5.3,"4,872",tt8707374,,English,0.0,not_netflix
186,The House with a Clock in Its Walls,2018-09-21,105 min,"Comedy, Family, Fantasy",1 win & 1 nomination,57.0,6.0,"53,188",tt2119543,68549695.0,English,42000000.0,not_netflix
187,Life Itself,2018-09-21,117 min,"Drama, Romance",2 wins & 4 nominations,21.0,6.9,"23,068",tt5989218,4102648.0,"English, Spanish",10000000.0,not_netflix
188,The Sisters Brothers,2018-10-19,122 min,"Drama, Western",13 wins & 25 nominations,78.0,6.9,"66,804",tt4971344,3143056.0,"English, Russian",38000000.0,not_netflix
189,Assassination Nation,2018-09-21,108 min,"Action, Comedy, Crime",1 win & 4 nominations,56.0,6.0,"20,491",tt6205872,2005142.0,"English, Italian",7000000.0,not_netflix
190,Little Italy,2018-09-21,102 min,"Comedy, Romance",,28.0,5.7,"15,999",tt6957966,990230.0,"English, Italian, Latin",0.0,not_netflix
191,Colette,2019-01-09,111 min,"Biography, Drama, History",1 win & 12 nominations,74.0,6.7,"24,864",tt5437928,5137622.0,English,0.0,not_netflix
192,Fahrenheit 11/9,2018-09-21,128 min,Documentary,3 wins & 7 nominations,69.0,7.1,"19,846",tt8632862,6352306.0,English,0.0,not_netflix
193,My Son,2021-09-15,95 min,"Crime, Drama, Mystery",,,6.0,"12,978",tt13234058,,"English, Gaelic",0.0,not_netflix
194,"Love, Gilda",2018-09-21,88 min,Documentary,Nominated for 2 Primetime Emmys. 3 wins & 3 nominations total,74.0,7.4,"1,697",tt5424228,626318.0,"English, French",0.0,not_netflix
195,My Hero Academia: Two Heroes,2018-09-25,96 min,"Animation, Action, Adventure",2 wins & 1 nomination,,7.4,"11,324",tt7745068,5754556.0,Japanese,12000000.0,not_netflix
196,Smallfoot,2018-09-28,96 min,"Animation, Adventure, Comedy",1 win & 14 nominations,60.0,6.6,"40,957",tt6182908,83315531.0,"English, Mandarin",0.0,not_netflix
197,Night School,2018-09-28,111 min,Comedy,1 win & 4 nominations,43.0,5.6,"42,019",tt6781982,77339130.0,"English, Spanish, French, Arabic",29000000.0,not_netflix
198,Hell Fest,2018-09-28,89 min,"Horror, Thriller",1 win,26.0,5.5,"17,979",tt1999890,11107431.0,English,5500000.0,not_netflix
199,Power of the Air,2018-10-02,90 min,Drama,,,7.0,79,tt3554938,,English,0.0,not_netflix
200,Venom,2018-10-05,112 min,"Action, Adventure, Sci-Fi",3 wins & 9 nominations,35.0,6.6,"498,673",tt1270797,213515506.0,"English, Mandarin, Malay",116000000.0,not_netflix
201,A Star Is Born,2018-10-05,136 min,"Drama, Music, Romance",Won 1 Oscar. 95 wins & 281 nominations total,88.0,7.6,"394,393",tt1517451,215333122.0,"English, French",36000000.0,not_netflix
202,The Happy Prince,2018-10-10,105 min,"Biography, Drama",5 wins & 15 nominations,64.0,6.2,"5,516",tt2404639,466440.0,"Latin, English, French, Italian",0.0,not_netflix
203,First Man,2018-10-12,141 min,"Biography, Drama, History",Won 1 Oscar. 32 wins & 196 nominations total,84.0,7.3,"192,653",tt1213641,44936545.0,English,70000000.0,not_netflix
204,Bad Times at the El Royale,2018-10-12,141 min,"Crime, Drama, Mystery",2 wins & 12 nominations,60.0,7.1,"154,677",tt6628394,17839115.0,English,32000000.0,not_netflix
205,Beautiful Boy,2018-10-25,120 min,"Biography, Drama",Nominated for 1 BAFTA Award10 wins & 31 nominations total,62.0,7.3,"83,988",tt1226837,7649973.0,English,25000000.0,not_netflix
206,The Oath,2018-10-19,93 min,"Comedy, Thriller",,58.0,5.6,"4,834",tt7461200,401463.0,English,0.0,not_netflix
207,Gosnell: The Trial of America's Biggest Serial Killer,2018-10-12,93 min,"Crime, Drama",,,6.5,"4,643",tt3722234,3679893.0,English,0.0,not_netflix
208,After Everything,2018-10-12,95 min,"Comedy, Drama, Romance",2 nominations,67.0,6.4,"1,787",tt6688022,,English,0.0,not_netflix
209,Halloween,1978-10-27,91 min,"Horror, Thriller",7 wins & 3 nominations,87.0,7.7,"286,865",tt0077651,47160000.0,English,10000000.0,not_netflix
210,The Hate U Give,2018-10-19,133 min,"Crime, Drama",22 wins & 38 nominations,81.0,7.5,"37,800",tt5580266,29719483.0,English,23000000.0,not_netflix
211,Can You Ever Forgive Me?,2018-11-02,106 min,"Biography, Comedy, Crime",Nominated for 3 Oscars. 53 wins & 102 nominations total,87.0,7.1,"53,741",tt4595882,8803865.0,English,0.0,not_netflix
212,Mid90s,2018-10-26,85 min,"Comedy, Drama",4 wins & 10 nominations,66.0,7.3,"69,678",tt5613484,7362439.0,English,,not_netflix
213,Wildlife,2019-01-01,105 min,Drama,6 wins & 25 nominations,80.0,6.8,"29,790",tt5929754,1050616.0,"English, Spanish",0.0,not_netflix
214,What They Had,2018-11-29,101 min,Drama,3 wins & 5 nominations,69.0,6.7,"4,461",tt6662736,260136.0,English,0.0,not_netflix
215,Hunter Killer,2018-10-26,121 min,"Action, Thriller",1 win,43.0,6.6,"66,082",tt1846589,15767460.0,"English, Russian",40000000.0,not_netflix
216,Johnny English Strikes Again,2018-10-26,89 min,"Action, Adventure, Comedy",1 win,39.0,6.2,"76,934",tt6921996,4412170.0,"English, Russian, French, German",25000000.0,not_netflix
217,Suspiria,1977-08-12,92 min,Horror,1 win & 3 nominations,79.0,7.3,"97,311",tt0076786,,"Italian, Russian, English, German, Latin",20000000.0,not_netflix
218,Indivisible,2016-09-29,100 min,Drama,31 wins & 20 nominations,80.0,6.9,"1,355",tt5259496,,"Italian, English",0.0,not_netflix
219,Bullitt County,2018-10-26,98 min,"Action, Drama, Thriller",8 wins & 5 nominations,50.0,4.7,561,tt6140148,11257.0,English,0.0,not_netflix
220,Bohemian Rhapsody,2018-11-02,134 min,"Biography, Drama, Music",Won 4 Oscars. 48 wins & 81 nominations total,49.0,7.9,"549,936",tt1727824,216668042.0,"English, British Sign ",52000000.0,not_netflix
221,The Nutcracker and the Four Realms,2018-11-02,99 min,"Adventure, Family, Fantasy",1 win & 8 nominations,39.0,5.6,"35,189",tt5523010,54858851.0,"English, French",120000000.0,not_netflix
222,Nobody's Fool,1995-01-13,110 min,"Comedy, Drama",Nominated for 2 Oscars. 5 wins & 10 nominations total,86.0,7.3,"21,441",tt0110684,39491975.0,English,19000000.0,not_netflix
223,Boy Erased,2018-11-08,115 min,"Biography, Drama",12 wins & 51 nominations,69.0,6.9,"39,932",tt7008872,6788692.0,English,0.0,not_netflix
224,A Private War,2018-11-16,110 min,"Biography, Drama, War",2 wins & 10 nominations,75.0,6.7,"19,975",tt2368254,1633208.0,English,0.0,not_netflix
225,Bodied,2018-11-02,120 min,"Comedy, Drama, Music",5 wins & 1 nomination,75.0,7.1,"5,813",tt5883570,113956.0,English,0.0,not_netflix
226,The Front Runner,2018-11-21,113 min,"Biography, Drama, History",1 win & 5 nominations,61.0,6.1,"13,652",tt7074886,2000105.0,English,0.0,not_netflix
227,The Grinch,2018-11-09,85 min,"Animation, Comedy, Family",1 win & 18 nominations,51.0,6.4,"77,390",tt2709692,271384731.0,English,75000000.0,not_netflix
228,The Girl in the Spider's Web,2018-11-09,115 min,"Action, Crime, Drama",1 win & 7 nominations,43.0,6.1,"49,150",tt5177088,14841338.0,English,43000000.0,not_netflix
229,Overlord,2018-11-09,110 min,"Action, Horror, Sci-Fi",2 wins & 7 nominations,60.0,6.6,"101,881",tt4530422,21704844.0,"English, German, French",38000000.0,not_netflix
230,The Ballad of Buster Scruggs,2018-11-09,133 min,"Comedy, Drama, Musical",Nominated for 3 Oscars. 7 wins & 42 nominations total,79.0,7.3,"153,067",tt6412452,,"English, French",0.0,netflix
231,Lazer Team 2,2017-11-13,86 min,"Action, Comedy, Sci-Fi",,,6.4,"3,567",tt6730898,,English,,not_netflix
232,Conundrum: Secrets Among Friends,2023-12-29,112 min,"Drama, Thriller",,,,,tt7251692,,English,,not_netflix
233,Fantastic Beasts: The Crimes of Grindelwald,2018-11-16,134 min,"Adventure, Family, Fantasy",Nominated for 2 BAFTA 3 wins & 23 nominations total,52.0,6.5,"291,169",tt4123430,159555901.0,"English, French",200000000.0,not_netflix
234,Widows,2018-11-16,129 min,"Crime, Drama, Thriller",Nominated for 1 BAFTA Award18 wins & 106 nominations total,84.0,6.8,"100,227",tt4218572,42402632.0,"English, Spanish, Polish",42000000.0,not_netflix
235,Green Book,2018-11-16,130 min,"Biography, Comedy, Drama",Won 3 Oscars. 59 wins & 124 nominations total,69.0,8.2,"510,749",tt6966692,85080171.0,"English, Italian, Russian, German",23000000.0,not_netflix
236,Instant Family,2018-11-16,118 min,"Comedy, Drama",3 wins & 5 nominations,57.0,7.3,"110,866",tt7401588,67363237.0,"English, Spanish",48000000.0,not_netflix
237,Ralph Breaks the Internet,2018-11-23,112 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 3 wins & 67 nominations total,71.0,7.0,"167,223",tt5848272,201091711.0,English,175000000.0,not_netflix
238,Creed II,2018-11-21,130 min,"Action, Drama, Sport",1 win & 12 nominations,66.0,7.1,"139,882",tt6343314,115715889.0,"English, Russian, Sign ",50000000.0,not_netflix
239,Robin Hood,2010-05-14,140 min,"Action, Adventure, Drama",1 win & 14 nominations,53.0,6.6,"273,966",tt0955308,105269730.0,"English, French, Ukrainian",100000000.0,not_netflix
240,Roma,2018-12-14,135 min,Drama,Won 3 Oscars. 252 wins & 219 nominations total,96.0,7.7,"162,589",tt6155172,,"Spanish, Mixtec, English, Japanese, German, French, Norwegian",15000000.0,netflix
241,The Favourite,2018-12-21,119 min,"Biography, Comedy, Drama",Won 1 Oscar. 185 wins & 349 nominations total,91.0,7.5,"206,264",tt5083738,34366783.0,English,15000000.0,not_netflix
242,Mowgli: Legend of the Jungle,2018-12-07,104 min,"Adventure, Drama, Fantasy",7 nominations,51.0,6.5,"63,529",tt2388771,,"English, Hindi",175000000.0,netflix
243,The Possession of Hannah Grace,2018-11-30,86 min,"Horror, Mystery, Thriller",3 nominations,37.0,5.2,"24,044",tt5734576,14837422.0,English,9500000.0,not_netflix
244,Anna and the Apocalypse,2018-11-30,93 min,"Comedy, Horror, Musical",9 wins & 12 nominations,63.0,6.0,"14,359",tt6433880,545597.0,English,0.0,not_netflix
245,Capernaum,2018-09-20,126 min,Drama,Nominated for 1 Oscar. 38 wins & 55 nominations total,75.0,8.4,"93,402",tt8267604,1661096.0,"Arabic, Amharic",4000000.0,not_netflix
246,The Cabin,2018-12-04,86 min,"Horror, Mystery, Thriller",,,2.8,597,tt5963066,,English,0.0,not_netflix
247,Mary Queen of Scots,2018-12-21,124 min,"Biography, Drama, History",Nominated for 2 Oscars. 8 wins & 32 nominations total,60.0,6.3,"52,375",tt2328900,16468499.0,"English, French, Gaelic, Latin",25000000.0,not_netflix
248,Ben Is Back,2018-12-05,103 min,Drama,3 wins & 13 nominations,66.0,6.7,"22,907",tt7545524,3703184.0,English,13000000.0,not_netflix
249,Spider-Man: Into the Spider-Verse,2018-12-14,117 min,"Animation, Action, Adventure",Won 1 Oscar. 82 wins & 57 nominations total,87.0,8.4,"552,354",tt4633694,190241310.0,"English, Spanish",90000000.0,not_netflix
250,Mortal Engines,2018-12-14,128 min,"Action, Adventure, Fantasy",3 wins & 2 nominations,44.0,6.1,"129,877",tt1571234,15951040.0,English,100000000.0,not_netflix
251,The Mule,2018-12-14,116 min,"Crime, Drama, Thriller",1 win & 10 nominations,58.0,7.0,"141,580",tt7959026,103804407.0,"English, Spanish",50000000.0,not_netflix
252,If Beale Street Could Talk,2018-12-25,119 min,"Drama, Romance",Won 1 Oscar. 107 wins & 191 nominations total,87.0,7.1,"50,382",tt7125860,14915773.0,"English, Spanish",12000000.0,not_netflix
253,Mary Poppins Returns,2018-12-19,130 min,"Adventure, Comedy, Family",Nominated for 4 Oscars. 23 wins & 112 nominations total,66.0,6.7,"90,625",tt5028340,171958438.0,English,130000000.0,not_netflix
254,Aquaman,2018-12-21,143 min,"Action, Adventure, Fantasy",2 wins & 38 nominations,55.0,6.8,"485,891",tt1477834,335104314.0,"English, Russian, Maori, Italian",160000000.0,not_netflix
255,Bumblebee,2018-12-21,114 min,"Action, Adventure, Sci-Fi",2 wins & 13 nominations,66.0,6.7,"171,500",tt4701182,127195589.0,English,135000000.0,not_netflix
256,Welcome to Marwen,2018-12-21,116 min,"Biography, Comedy, Drama",2 wins & 8 nominations,40.0,6.2,"24,751",tt3289724,10763520.0,"English, German, French, Russian",39000000.0,not_netflix
257,Second Act,2018-12-21,103 min,"Comedy, Drama, Romance",2 wins & 1 nomination,46.0,5.8,"28,673",tt2126357,39282227.0,"English, Mandarin",16000000.0,not_netflix
258,Cold War,2018-06-08,89 min,"Drama, Music, Romance",Nominated for 3 Oscars. 50 wins & 127 nominations total,90.0,7.5,"59,055",tt6543652,4580048.0,"Polish, French, Croatian, German, Russian, Serbian, Italian",4954500.0,not_netflix
259,Sherlock Holmes: A Game of Shadows,2011-12-16,129 min,"Action, Adventure, Mystery",3 wins & 11 nominations,48.0,7.4,"463,400",tt1515091,186848418.0,"English, French, Italian, German, Romany",,not_netflix
260,Vice,2018-12-25,132 min,"Biography, Comedy, Drama",Won 1 Oscar. 35 wins & 139 nominations total,61.0,7.2,"152,458",tt6266538,47836282.0,"English, Arabic",60000000.0,not_netflix
261,On the Basis of Sex,2019-01-11,120 min,"Biography, Drama",4 wins & 12 nominations,59.0,7.1,"35,843",tt4669788,24704837.0,English,20000000.0,not_netflix
262,Destroyer,2018-12-27,121 min,"Action, Crime, Drama",3 wins & 20 nominations,62.0,6.2,"30,499",tt7137380,1533324.0,English,9000000.0,not_netflix
263,Black Mirror: Bandersnatch,2018-12-28,90 min,"Drama, Fantasy, Mystery",Won 1 Primetime Emmy. 5 wins & 10 nominations total,,7.1,"129,427",tt9495224,,English,0.0,not_netflix
264,Escape Room,2019-01-04,99 min,"Action, Adventure, Horror",1 win & 7 nominations,48.0,6.4,"127,885",tt5886046,57005601.0,English,9000000.0,not_netflix
265,Rust Creek,2019-01-04,108 min,"Crime, Drama, Thriller",9 wins,59.0,5.9,"12,284",tt6610158,,English,750000.0,not_netflix
266,American Hangman,2019-01-04,99 min,Thriller,1 nomination,38.0,5.9,"3,635",tt8975028,,English,0.0,not_netflix
267,A Dog's Way Home,2019-01-11,96 min,"Adventure, Drama, Family",2 wins,50.0,6.7,"18,840",tt7616798,42004346.0,English,18000000.0,not_netflix
268,The Upside,2019-01-11,126 min,"Comedy, Drama",2 wins & 3 nominations,46.0,7.0,"58,347",tt1987680,108252517.0,"English, German, Italian",37500000.0,not_netflix
269,Replicas,2019-01-11,107 min,"Drama, Sci-Fi, Thriller",1 nomination,19.0,5.4,"39,888",tt4154916,4046429.0,English,30000000.0,not_netflix
270,After Darkness,2019-01-15,98 min,"Drama, Sci-Fi, Thriller",,,3.7,"1,170",tt2728784,,English,0.0,not_netflix
271,Glass,2019-01-18,129 min,"Drama, Horror, Sci-Fi",2 wins & 15 nominations,43.0,6.6,"251,081",tt6823368,111048468.0,"English, Spanish",20000000.0,not_netflix
272,Close,2019-01-18,94 min,"Action, Drama, Thriller",1 nomination,51.0,5.7,"25,739",tt5316540,,"Arabic, French, English",0.0,not_netflix
273,The Standoff at Sparrow Creek,2019-01-18,88 min,"Crime, Drama, Thriller",1 win & 1 nomination,62.0,6.1,"4,299",tt5304996,,English,450000.0,not_netflix
274,The Final Wish,2019-01-24,95 min,Horror,,,4.3,"6,857",tt9109306,25183.0,English,0.0,not_netflix
275,The Kid Who Would Be King,2019-01-25,120 min,"Action, Adventure, Family",2 wins & 4 nominations,66.0,6.1,"17,580",tt6811018,16790790.0,English,59000000.0,not_netflix
276,Serenity,2005-09-30,119 min,"Action, Adventure, Sci-Fi",9 wins & 10 nominations,74.0,7.8,"299,033",tt0379786,25514517.0,"English, Mandarin",25000000.0,not_netflix
277,I Am Mother,2019-06-07,113 min,"Drama, Mystery, Sci-Fi",4 wins & 6 nominations,64.0,6.7,"93,924",tt6292852,,English,0.0,not_netflix
278,The Vast of Night,2020-05-29,91 min,"Drama, Mystery, Sci-Fi",12 wins & 44 nominations,84.0,6.7,"41,055",tt6803046,,English,0.0,not_netflix
279,Miss Bala,2019-02-01,104 min,"Action, Crime, Drama",,41.0,5.8,"11,895",tt5941692,15006824.0,"English, Spanish",15000000.0,not_netflix
280,Velvet Buzzsaw,2019-02-01,113 min,"Horror, Mystery, Thriller",1 win & 3 nominations,61.0,5.7,"63,041",tt7043012,,"English, Chinese, Italian",21000000.0,netflix
281,Piercing,2019-02-01,81 min,"Horror, Mystery, Thriller",4 wins & 8 nominations,63.0,5.5,"8,085",tt6516314,15856.0,"English, Portuguese",0.0,not_netflix
282,The Lego Movie 2: The Second Part,2019-02-08,107 min,"Animation, Action, Adventure",1 win & 16 nominations,65.0,6.6,"69,831",tt3513498,105956290.0,English,99000000.0,not_netflix
283,What Men Want,2019-02-08,117 min,"Comedy, Fantasy, Romance",1 win,49.0,5.3,"28,735",tt7634968,54611903.0,"English, Mandarin",20000000.0,not_netflix
284,Cold Pursuit,2019-02-08,119 min,"Action, Comedy, Crime",3 nominations,57.0,6.2,"71,886",tt5719748,32138862.0,"English, Vietnamese, Shoshoni",60000000.0,not_netflix
285,High Flying Bird,2019-02-08,90 min,"Drama, Sport",7 nominations,78.0,6.2,"8,915",tt8128188,,English,0.0,netflix
286,The Prodigy,2019-02-08,92 min,"Fantasy, Horror, Mystery",1 win & 1 nomination,45.0,5.9,"27,203",tt4504044,14856291.0,"English, Hungarian",6000000.0,not_netflix
287,Isn't It Romantic,2019-02-13,89 min,"Comedy, Fantasy, Musical",1 win & 10 nominations,60.0,5.9,"71,456",tt2452244,48791187.0,"English, Italian",0.0,not_netflix
288,Happy Death Day 2U,2019-02-13,100 min,"Comedy, Horror, Mystery",4 nominations,57.0,6.2,"78,223",tt8155288,28148130.0,"English, French",9000000.0,not_netflix
289,Alita: Battle Angel,2019-02-14,122 min,"Action, Adventure, Sci-Fi",10 wins & 25 nominations,53.0,7.3,"276,053",tt0437086,85838210.0,"English, Spanish",170000000.0,not_netflix
290,How to Train Your Dragon: The Hidden World,2019-02-22,104 min,"Animation, Action, Adventure",Nominated for 1 Oscar. 5 wins & 65 nominations total,71.0,7.4,"135,406",tt2386490,160945505.0,English,129000000.0,not_netflix
291,Fighting with My Family,2019-02-22,108 min,"Biography, Comedy, Drama",10 wins & 5 nominations,68.0,7.1,"83,517",tt6513120,22958886.0,English,11000000.0,not_netflix
292,Greta,2019-03-01,98 min,"Drama, Mystery, Thriller",2 wins & 4 nominations,54.0,6.0,"35,338",tt2639336,10532219.0,"English, Hungarian, French, Korean",600.0,not_netflix
293,Triple Frontier,2019-03-13,125 min,"Action, Thriller",3 nominations,61.0,6.4,"134,346",tt1488606,,"English, Spanish, Portuguese",0.0,netflix
294,Captain Marvel,2019-03-08,123 min,"Action, Adventure, Sci-Fi",9 wins & 56 nominations,64.0,6.8,"573,246",tt4154664,426829839.0,English,152000000.0,not_netflix
295,The Kid,1921-02-06,68 min,"Comedy, Drama, Family",2 wins,,8.3,"128,174",tt0012349,,English,8000000.0,not_netflix
296,Wonder Park,2019-03-15,85 min,"Animation, Adventure, Comedy",2 nominations,45.0,5.8,"12,228",tt6428676,45216793.0,"English, French",100000000.0,not_netflix
297,Captive State,2019-03-15,109 min,"Action, Horror, Sci-Fi",2 nominations,54.0,6.0,"55,427",tt5968394,5958315.0,English,25000000.0,not_netflix
298,Nancy Drew and the Hidden Staircase,2019-03-26,89 min,"Comedy, Crime, Drama",1 nomination,55.0,5.7,"5,075",tt8323104,623088.0,English,0.0,not_netflix
299,The Aftermath,2019-03-15,108 min,"Drama, Romance, War",1 nomination,43.0,6.3,"22,097",tt5977276,1618497.0,"English, German, Russian",0.0,not_netflix
300,Five Feet Apart,2019-03-15,116 min,"Drama, Romance",3 wins & 8 nominations,53.0,7.2,"72,179",tt6472976,45729221.0,"English, French",7000000.0,not_netflix
301,The Highwaymen,2019-03-29,132 min,"Biography, Crime, Drama",3 nominations,58.0,6.9,"95,195",tt1860242,,"English, Spanish",49000000.0,netflix
302,Red 11,2018-08-10,86 min,"Horror, Sci-Fi, Thriller",1 nomination,,4.9,484,tt7837402,,English,7000.0,not_netflix
303,Never Grow Old,2019-12-27,100 min,"Drama, Western",3 wins & 3 nominations,65.0,6.0,"4,343",tt1158939,,"English, Italian",12000000.0,not_netflix
304,Triple Threat,2019-03-22,96 min,"Action, Thriller",,60.0,5.6,"11,790",tt6643972,76289.0,"English, Mandarin, Thai",10000000.0,not_netflix
305,Us,2019-03-22,116 min,"Horror, Mystery, Thriller",85 wins & 132 nominations,81.0,6.8,"310,670",tt6857112,175084580.0,English,20000000.0,not_netflix
306,Hotel Mumbai,2019-03-29,123 min,"Action, Drama, History",9 wins & 27 nominations,62.0,7.6,"66,401",tt5461944,9651611.0,"Hindi, English, Russian, Persian",0.0,not_netflix
307,The Dirt,2019-03-22,107 min,"Biography, Comedy, Drama",1 win,39.0,7.0,"51,829",tt0800325,,English,0.0,netflix
308,Dragged Across Concrete,2019-03-22,159 min,"Action, Crime, Drama",5 nominations,60.0,6.9,"49,564",tt6491178,,"English, Spanish",15000000.0,not_netflix
309,Dumbo,1941-10-31,64 min,"Animation, Adventure, Drama",Won 1 Oscar. 5 wins & 1 nomination total,96.0,7.2,"135,495",tt0033563,,English,170000000.0,not_netflix
310,The Beach Bum,2019-03-29,95 min,Comedy,1 win & 7 nominations,55.0,5.5,"23,412",tt6511932,3502600.0,"English, Spanish",5000000.0,not_netflix
311,Unplanned,2019-03-29,109 min,"Biography, Drama",6 wins & 3 nominations,10.0,5.5,"14,232",tt9024106,19005109.0,English,6000000.0,not_netflix
312,Shazam!,2019-04-05,132 min,"Action, Adventure, Comedy",28 nominations,71.0,7.0,"351,832",tt0448115,140480049.0,"English, Spanish",80000000.0,not_netflix
313,Pet Sematary,1989-04-21,103 min,"Fantasy, Horror, Thriller",1 win & 6 nominations,38.0,6.5,"108,205",tt0098084,57469467.0,English,21000000.0,not_netflix
314,The Best of Enemies,2019-04-05,133 min,"Biography, Drama, History",5 nominations,49.0,7.3,"17,864",tt4807408,10205616.0,"English, Latin",10000000.0,not_netflix
315,High Life,2019-04-12,113 min,"Adventure, Drama, Horror",5 wins & 25 nominations,78.0,5.8,"37,656",tt4827558,1225852.0,English,8933400.0,not_netflix
316,Unicorn Store,2019-04-05,92 min,"Comedy, Drama, Fantasy",2 nominations,44.0,5.6,"19,958",tt2338454,,English,,netflix
317,The Haunting of Sharon Tate,2019-04-05,94 min,"Drama, Horror, Thriller",4 wins & 4 nominations,8.0,2.9,"4,218",tt7976208,,English,0.0,not_netflix
318,The Wind,2019-04-05,88 min,"Horror, Mystery, Thriller",1 win & 6 nominations,66.0,5.6,"8,777",tt8426594,28252.0,English,0.0,not_netflix
319,The Silence,2019-04-10,90 min,"Drama, Horror, Sci-Fi",,25.0,5.3,"47,288",tt7315484,,"English, American Sign ",0.0,not_netflix
320,Hellboy,2004-04-02,122 min,"Action, Adventure, Fantasy",3 wins & 23 nominations,72.0,6.8,"336,246",tt0167190,59623958.0,"English, Russian, German, Latin",50000000.0,not_netflix
321,Little Miss Sunshine,2006-08-18,101 min,"Comedy, Drama",Won 2 Oscars. 72 wins & 112 nominations total,80.0,7.8,"492,372",tt0449059,59891098.0,English,,not_netflix
322,Missing Link,2019-04-12,93 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 5 wins & 44 nominations total,68.0,6.7,"27,341",tt6348138,16649539.0,"English, Spanish, Tibetan",100000000.0,not_netflix
323,After,2019-04-12,105 min,"Drama, Romance",4 wins,30.0,5.3,"58,284",tt4126476,12138565.0,English,14000000.0,not_netflix
324,Her Smell,2019-05-10,136 min,"Drama, Music",4 wins & 30 nominations,70.0,6.0,"7,652",tt7942742,255599.0,English,0.0,not_netflix
325,Breakthrough,2019-04-17,116 min,"Biography, Drama",Nominated for 1 Oscar. 2 wins & 11 nominations total,46.0,6.2,"10,317",tt7083526,40713082.0,English,0.0,not_netflix
326,Penguins,2019-04-17,76 min,"Documentary, Family",1 win & 1 nomination,69.0,7.1,"1,756",tt8080302,7699452.0,English,0.0,not_netflix
327,The Curse of La Llorona,2019-04-19,93 min,"Horror, Mystery, Thriller",1 win & 7 nominations,41.0,5.2,"52,558",tt4913966,54733739.0,"English, Spanish",9000000.0,not_netflix
